1054 Forsytia nummod
Ralph defeated nsubjpass
the Timid det
Timid defeated nsubjpass
is defeated auxpass
defeated defeated ROOT
by defeated agent
the Welsh det
Welsh by pobj
December taken npadvmod
18 December nummod
The capture det
Seljuk Turks compound
Turks capture compound
capture December appos
Baghdad capture appos
Al Rahim compound
Malik Rahim compound
al Rahim compound
Rahim taken nsubjpass
is taken auxpass
taken taken ROOT
prisoner taken oprd
Construction is nsubj
on Construction prep
the Pagoda det
Liaodi Pagoda compound
Pagoda on pobj
in Pagoda prep
Hebei in pobj
is is ROOT
complete is acomp
the pagoda det
tallest pagoda amod
pagoda standing nsubj
in pagoda prep
Chinese history amod
history in pobj
standing is advcl
at standing prep
a height det
height at pobj
of height prep
84 m nummod
m of pobj
275 ft nummod
ft m appos
tall standing advcl
The conquer det
Almoravids conquer compound
conquer conquer ROOT
Awdaghost conquer appos
present day amod
day Mauritania compound
Mauritania Awdaghost appos
1055 Tynka nummod
Tynka is nsubj
is is ROOT
an asteroid det
asteroid is attr
discovered asteroid acl
on discovered prep
November on pobj
17 November nummod
1925 November nummod
by discovered agent
Emil Buchar compound
Buchar by pobj
10550 Malmö nummod
Malmö is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1556.6792762 days nummod
days of pobj
4.26 years nummod
years days appos
10551 Göteborg nummod
Göteborg is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1891.7437053 days nummod
days of pobj
5.18 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
December on pobj
18 December nummod
1992 December nummod
10552 10552 ROOT
Stockholm is nsubj
1993 Stockholm npadvmod
BH13 Stockholm appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
10555 10555 ROOT
Tagaharue is nsubj
1993 HH nummod
HH Tagaharue appos
is is ROOT
a Asteroid det
Outer Asteroid amod
Main belt compound
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
April on pobj
16 April nummod
1993 April nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
10557 10557 ROOT
Rowland is nsubj
1993 RL5 nummod
RL5 Rowland appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
September on pobj
15 September nummod
1993 September nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
the Observatory det
European Observatory compound
Southern Observatory compound
Observatory at pobj
10558 Karlstad nummod
Karlstad is nsubj
1993 RB7 nummod
RB7 Karlstad appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
September on pobj
15 September nummod
1993 September nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
the Observatory det
European Observatory compound
Southern Observatory compound
Observatory at pobj
10559 10559 ROOT
Yukihisa is nsubj
1993 SJ1 nummod
SJ1 Yukihisa appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
September on pobj
16 September nummod
1993 September nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
The creation det
creation observed nsubjpass
of creation prep
the Nebula det
Crab Nebula compound
Nebula of pobj
is observed auxpass
observed observed ROOT
by observed agent
a astronomer det
Chinese astronomer amod
astronomer by pobj
Anselm leaves nsubj
leaves leaves ROOT
Italy leaves dobj
Henry IV compound
IV becomes nsubj
Holy Emperor compound
Roman Emperor compound
Emperor IV appos
becomes becomes ROOT
King becomes attr
of King prep
Germany of pobj
Ottokar becomes nsubj
Count Ottokar appos
of Count prep
Steyr of pobj
becomes becomes ROOT
Margrave becomes attr
of Margrave prep
the March det
Karantanian March compound
March of pobj
later known advmod
known Margrave acl
as known prep
Styria as pobj
The Pagoda det
Pagoda built nsubjpass
of Pagoda prep
Fugong Temple compound
Temple of pobj
of Temple prep
Shanxi of pobj
in Temple prep
northern China amod
China in pobj
is built auxpass
built built ROOT
during built prep
the Dynasty det
Liao Dynasty compound
Dynasty during pobj
Work begins nsubj
begins begins ROOT
on begins prep
the Pagoda det
Pizhi Pagoda compound
Pagoda on pobj
of Pagoda prep
Lingyan Temple compound
Temple of pobj
Shandong Temple conj
China Shandong conj
under begins prep
the Dynasty det
opposing Dynasty amod
Song Dynasty compound
Dynasty under pobj
The Muslims det
Muslims expel nsubj
expel expel ROOT
300 Christians nummod
Christians expel dobj
from Christians prep
Jerusalem from pobj
and expel cc
European Christians amod
Christians forbidden nsubjpass
are forbidden auxpass
forbidden expel conj
to enter aux
enter forbidden xcomp
the Church det
Church enter dobj
of Church prep
the Sepulcher det
Holy Sepulcher compound
Sepulcher of pobj
1056 1056 ROOT
Azalea is nsubj
is is ROOT
a asteroid det
main belt amod
belt asteroid compound
asteroid is attr
discovered asteroid acl
by discovered agent
Karl Reinmuth compound
Wilhelm Reinmuth compound
Reinmuth by pobj
on discovered prep
January on pobj
31 January nummod
1924 January nummod
JPL Entry compound
Small Body compound
Body Entry compound
Database Entry compound
Entry Entry ROOT
Azalea Michinari compound
10560 Azalea npadvmod
Michinari is nsubj
1993 TN nummod
TN Michinari appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
October on pobj
8 October nummod
1993 October nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
10561 Shimizumasahiro nummod
Shimizumasahiro is nsubj
1993 TE2 nummod
TE2 Shimizumasahiro appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
October on pobj
15 October nummod
1993 October nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
10563 Izhdubar nummod
Izhdubar is nsubj
1993 WD nummod
WD Izhdubar appos
is is ROOT
an asteroid det
Apollo asteroid compound
asteroid is attr
discovered asteroid acl
on discovered prep
November on pobj
19 November nummod
1993 November nummod
by discovered agent
C. Shoemaker compound
S. Shoemaker compound
Shoemaker by pobj
and Shoemaker cc
E. Shoemaker compound
M. Shoemaker compound
Shoemaker Shoemaker conj
at Shoemaker prep
Palomar at pobj
10566 10566 ROOT
Zabadak is nsubj
1994 AZ2 nummod
AZ2 Zabadak appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
January on pobj
14 January nummod
1994 January nummod
by discovered agent
Y. Kushida compound
Kushida by pobj
and Kushida cc
O. Muramatsu compound
Muramatsu Kushida conj
at discovered prep
Yatsugatake Observatory compound
South Observatory compound
Base Observatory compound
Observatory at pobj
10568 10568 ROOT
Yoshitanaka is nsubj
1994 CF1 nummod
CF1 Yoshitanaka appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
February on pobj
2 February nummod
1994 February nummod
by discovered agent
S. Otomo compound
Otomo by pobj
at discovered prep
Kiyosato at pobj
10569 Kinoshitamasao nummod
Kinoshitamasao is nsubj
1994 GQ nummod
GQ Kinoshitamasao appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
April on pobj
8 April nummod
1994 April nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
King Macbeth compound
Macbeth killed nsubjpass
of Macbeth prep
Scotland of pobj
is killed auxpass
killed killed ROOT
in killed prep
battle in pobj
against battle prep
Malcolm III compound
III against pobj
of III prep
Scotland of pobj
He succeeded nsubjpass
is succeeded auxpass
succeeded succeeded ROOT
as succeeded prep
King as pobj
of King prep
Scotland of pobj
by succeeded agent
his Lulach poss
stepson Lulach compound
Lulach by pobj
August succeeds npadvmod
2 August nummod
Pope IX compound
Stephen IX compound
IX succeeds nsubj
sometimes referred advmod
referred IX parataxis
to referred prep
as referred prep
Stephen X compound
X as pobj
succeeds succeeds ROOT
Pope II compound
Victor II compound
II succeeds dobj
as succeeds prep
the pope det
154th pope amod
pope as pobj
King Anawrahta compound
Anawrahta captures nsubj
of Anawrahta prep
Myanmar of pobj
captures captures ROOT
Thanton captures dobj
in captures prep
northern Thailand amod
Thailand in pobj
strengthening captures advcl
Theravada Buddhism compound
Buddhism strengthening dobj
in strengthening prep
the country det
country in pobj
William Conqueror compound
the Conqueror det
Conqueror defeats nsubj
defeats defeats ROOT
a army det
Franco Angevin compound
Angevin army compound
army defeats dobj
at defeats prep
the mouth det
mouth at pobj
of mouth prep
the River det
Dives River compound
River of pobj
Normandy River appos
1057 1057 ROOT
Wanda is nsubj
is is ROOT
a planet det
minor planet amod
planet is attr
orbiting planet acl
the Sun det
Sun orbiting dobj
Initially received advmod
it received nsubj
received received ROOT
the designation det
designation received dobj
1925 QB nummod
QB designation appos
It has nsubj
has has ROOT
a diameter det
diameter has dobj
of diameter prep
49 km nummod
km of pobj
10570 10570 ROOT
Shibayasuo is nsubj
1994 GT nummod
GT Shibayasuo appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
April on pobj
8 April nummod
1994 April nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
10573 10573 ROOT
Piani is nsubj
1994 WU1 nummod
WU1 Piani appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
10577 10577 ROOT
Jihčesmuzeum is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1513.7712819 days nummod
days of pobj
4.14 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
May on pobj
2 May nummod
1995 May nummod
10579 10579 ROOT
Diluca is nsubj
1995 OE nummod
OE Diluca appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
March March ROOT
17 March nummod
King Lulach compound
Lulach killed nsubjpass
of Lulach prep
Scotland of pobj
is killed auxpass
killed killed ROOT
in killed prep
battle in pobj
against battle prep
his cousin poss
cousin against pobj
and cousin cc
rival cousin conj
Máel Coluim compound
Coluim Donnchada compound
mac Donnchada compound
Donnchada cousin appos
who becomes nsubj
later becomes advmod
becomes Donnchada relcl
King becomes attr
as King prep
Máel III compound
Coluim III compound
III as pobj
Antipope X compound
Benedict X compound
X is nsubj
is crowned auxpass
crowned crowned ROOT
pope crowned dobj
but crowned cc
later deposed advmod
deposed crowned conj
Pope II compound
Nicholas II compound
II elected nsubjpass
is elected auxpass
elected elected ROOT
pope elected oprd
in elected prep
December in pobj
and elected cc
installed elected conj
in installed prep
the year det
following year amod
year in pobj
The Battle det
Battle fought nsubjpass
of Battle prep
Varaville of pobj
is fought auxpass
fought fought ROOT
Boleslaus II compound
II takes nsubj
takes takes ROOT
office takes dobj
as takes prep
duke as pobj
of duke prep
Poland of pobj
Construction begins nsubj
begins begins ROOT
on begins prep
the Cathedral det
Cathedral on pobj
of Cathedral prep
Parma of pobj
Italy Parma appos
Aldred becomes nsubj
becomes becomes ROOT
the bishop det
first bishop amod
English bishop amod
bishop becomes attr
to make aux
make bishop relcl
a pilgrimage det
pilgrimage make dobj
to pilgrimage prep
Jerusalem to pobj
The Almoravids det
Almoravids conquer nsubj
conquer conquer ROOT
the Berghouata det
Berghouata conquer dobj
Al Ghazali compound
Ghazali Ghazali ROOT
Muslim theologian amod
theologian Ghazali appos
jurist theologian conj
and jurist cc
mystic jurist conj
1058 1058 ROOT
Grubba is nsubj
is is ROOT
a planet det
minor planet amod
planet is attr
orbiting planet acl
the Sun det
Sun orbiting dobj
a member det
member Sun appos
of member prep
the family det
Augusta family compound
family of pobj
Initially received advmod
it received nsubj
received received ROOT
the MA det
designation MA nmod
1925 MA nummod
MA received dobj
It named nsubjpass
is named auxpass
now named advmod
named named ROOT
after named prep
Sir Grubb compound
Howard Grubb compound
Grubb after pobj
10581 Jeníkhollan nummod
Jeníkhollan is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1904.2377860 days nummod
days of pobj
5.21 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
July on pobj
30 July nummod
1995 July nummod
10582 10582 ROOT
Harumi is nsubj
1995 TG nummod
TG Harumi appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
October on pobj
3 October nummod
1995 October nummod
by discovered agent
Y. Ikari compound
Ikari by pobj
at Ikari prep
Moriyama at pobj
10583 10583 ROOT
Kanetugu is nsubj
1995 WC4 nummod
WC4 Kanetugu appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
November on pobj
21 November nummod
1995 November nummod
by discovered agent
T. Okuni compound
Okuni by pobj
at Okuni prep
Nanyo at pobj
10584 10584 ROOT
Ferrini is nsubj
1996 GJ2 nummod
GJ2 Ferrini appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
April on pobj
14 April nummod
1996 April nummod
by discovered agent
L. Tesi compound
Tesi by pobj
and Tesi cc
A. Boattini compound
Boattini Tesi conj
at Boattini prep
San Marcello compound
Marcello Pistoiese compound
Pistoiese at pobj
10585 10585 ROOT
Wabi Sabi compound
Sabi GD21 nmod
1996 GD21 nummod
GD21 is nsubj
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
April on pobj
13 April nummod
1996 April nummod
by discovered agent
Spacewatch by pobj
at Spacewatch prep
Kitt Peak compound
Peak at pobj
10587 Strindberg nummod
Strindberg is nsubj
1996 NF3 nummod
NF3 Strindberg appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
July on pobj
14 July nummod
1996 July nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
the Observatory det
European Observatory compound
Southern Observatory compound
Observatory at pobj
10588 Adamcrandall nummod
Adamcrandall is nsubj
1996 OE nummod
OE Adamcrandall appos
is is ROOT
an asteroid det
asteroid is attr
discovered asteroid acl
on discovered prep
July on pobj
18 July nummod
1996 July nummod
by discovered agent
P. Comba compound
G. Comba compound
Comba by pobj
Anselm settles nsubj
settles settles ROOT
at settles prep
the monastery det
Benedictine monastery compound
monastery at pobj
of monastery prep
Le Bec compound
Bec of pobj
in Bec prep
Normandy in pobj
The Council det
Lateran Council compound
Council makes nsubj
makes makes ROOT
the College det
College voters nsubj
of College prep
Cardinals of pobj
the voters det
sole voters amod
voters makes ccomp
in voters prep
the election det
election in pobj
of election prep
popes of pobj
Muhammed ben amod
ben Da'ud compound
Da'ud becomes nsubj
known Da'ud acl
as known prep
Alp Arslan compound
Arslan as pobj
becomes becomes ROOT
second sultan amod
sultan becomes attr
of sultan prep
the Turks det
Seljuk Turks compound
Turks of pobj
Isaac Isaac ROOT
I Comnenus nsubj
Comnenus resigns nsubj
resigns resigns ROOT
as resigns prep
Byzantine Emperor compound
Emperor as pobj
appointing resigns advcl
Constantine Ducas compound
Ducas appointing dobj
as appointing prep
his successor poss
successor as pobj
January succeeds npadvmod
24 January nummod
Pope II compound
Nicholas II compound
II succeeds nsubj
succeeds succeeds ROOT
Pope IX compound
Stephen IX compound
IX succeeds dobj
as succeeds prep
the Pope det
155th Pope amod
Pope as pobj
installed Pope acl
in installed prep
opposition in pobj
to opposition prep
Antipope X. compound
Benedict X. compound
X. to pobj
August Guiscard compound
Robert Guiscard compound
Guiscard signs nsubj
signs signs ROOT
the Treaty det
Treaty signs dobj
of Treaty prep
Melfi of pobj
with Treaty prep
Pope II compound
Nicholas II compound
II with pobj
1059 1059 ROOT
Mussorgskia is nsubj
is is ROOT
a planet det
minor planet amod
planet is attr
orbiting planet acl
the Sun det
Sun orbiting dobj
Initially received advmod
it received nsubj
received received ROOT
the designation det
designation received dobj
1925 designation nummod
OA designation appos
It named nsubjpass
is named auxpass
now named advmod
named named ROOT
after named prep
Modest Mussorgsky compound
Mussorgsky after pobj
a composer det
Russian composer amod
composer Mussorgsky appos
10591 Caverni nummod
Caverni is nsubj
1996 PD3 nummod
PD3 Caverni appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
August on pobj
13 August nummod
1996 August nummod
by discovered agent
M. Tombelli compound
Tombelli by pobj
and Tombelli cc
G. Forti compound
Forti Tombelli conj
at Tombelli prep
Montelupo at pobj
10596 10596 ROOT
Stevensimpson is nsubj
1996 TS nummod
TS Stevensimpson appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
October on pobj
4 October nummod
1996 October nummod
by discovered agent
D. Cicco compound
di Cicco compound
Cicco by pobj
at Cicco prep
Sudbury at pobj
Massachusetts Sudbury appos
10598 Markrees nummod
Markrees is nsubj
1996 TT11 nummod
TT11 Markrees appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
October on pobj
13 October nummod
1996 October nummod
by discovered agent
P. Comba compound
G. Comba compound
Comba by pobj
at Comba prep
Prescott at pobj
105P Brewster nmod
Singer Brewster compound
Brewster is nsubj
is is ROOT
a comet det
periodic comet amod
comet is attr
in is prep
our system poss
solar system amod
system in pobj
Its name poss
name is nsubj
is is ROOT
unusual is acomp
co - dep
- discovered dep
discovered comets amod
comets bear nsubj
bear name acl
the names det
names bear dobj
of names prep
the discoverers det
co - dep
- discoverers dep
discoverers of pobj
linked discoverers acl
by linked agent
hyphens by pobj
e.g. ( pobj
Shoemaker Levy compound
Levy hyphens appos
9 Levy nummod
Helin Alu compound
Roman Alu compound
Alu Levy conj
1 Alu nummod
Swift Tuttle compound
Tuttle Alu conj
etc Tuttle conj
But bears cc
the discoverer det
single discoverer amod
discoverer bears nsubj
in discoverer prep
this case det
case in pobj
bears bears ROOT
a name det
hyphenated name amod
name bears dobj
Stephen Brewster compound
Singer Brewster compound
Brewster name appos
so bears cc
the comet det
comet name poss
's comet case
name replaces nsubj
replaces bears conj
the hyphen det
hyphen replaces dobj
by replaces prep
a space det
space by pobj
105 T8 nummod
mm Gun compound
Gun T8 compound
T8 was nsubj
was was ROOT
an gun det
anti - dep
- tank dep
tank gun amod
gun was attr
developed gun acl
in developed prep
the States det
United States compound
States in pobj
in developed prep
mid 1940s amod
1940s in pobj
The development det
development started nsubj
started reached ccomp
in started prep
October in pobj
1944 October nummod
the gun det
gun reached nsubj
reached reached ROOT
trials reached dobj
in reached prep
February in pobj
1946 February nummod
Soon afterwards advmod
afterwards cancelled advmod
the project det
project cancelled nsubjpass
was cancelled auxpass
cancelled cancelled ROOT
Two pieces nummod
pilot pieces compound
pieces built nsubjpass
were built auxpass
built is ccomp
one is nsubj
of one prep
those of pobj
is is ROOT
on is prep
display on pobj
in display prep
the Museum det
United States compound
States Museum compound
Army Ordnance compound
Ordnance Museum compound
Museum in pobj
Aberdeen Museum conj
Maryland Aberdeen conj
United States compound
States Maryland conj
The T8 det
T8 weighted nsubj
weighted weighted ROOT
about eight advmod
eight tons nummod
tons weighted dobj
It split nsubj
had split aux
split split ROOT
trail carriage compound
carriage split dobj
and carriage cc
magnesium wheels compound
wheels carriage conj
with split prep
synthetic tires amod
rubber tires compound
tires with pobj
In rotated prep
transportation In pobj
the mount det
mount rotated nsubjpass
could rotated aux
be rotated auxpass
rotated rotated ROOT
180 degrees nummod
degrees rotated dobj
in rotated prep
order in pobj
to reduce aux
reduce order acl
the length det
length reduce dobj
of length prep
the piece det
piece of pobj
The gun det
gun fired nsubj
fired fired ROOT
a kg det
17.7 kg nummod
kg fired dobj
39 lbs nummod
lbs kg appos
AP projectile compound
projectile degrees ccomp
at projectile prep
945 m nummod
m s nmod
s at pobj
3,100 ft nummod
ft s nmod
s s appos
resulting degrees advcl
in resulting prep
the penetration det
penetration in pobj
of penetration prep
210 mm nummod
mm of pobj
8.26 mm appos
in 8.26 prep
at penetration prep
1,000 m nummod
m at pobj
1,093 yds nummod
yds m appos
0 degrees nummod
degrees degrees ROOT
The Squadron det
105th Squadron amod
Airlift Squadron compound
Squadron flies nsubj
flies flies ROOT
the Hercules det
C-130H Hercules compound
Hercules flies dobj
It is nsubj
is is ROOT
a unit det
unit is attr
of unit prep
the Guard det
Tennessee Guard compound
Air Guard compound
National Guard compound
Guard of pobj
Its unit poss
parent unit compound
unit is nsubj
is is ROOT
the Wing det
118th Wing amod
Airlift Wing compound
Wing is attr
Air Mobility compound
Mobility Command compound
Command Command ROOT
1992-Present Command appos
Military Command compound
Airlift Command compound
Command Command ROOT
1966 Command npadvmod
1992 1966 prep
Military Service compound
Air Transport compound
Transport Service compound
Service Command appos
1961 Service npadvmod
1966 1961 prep
The Force det
United States compound
States Force compound
Air Force compound
Force Wing poss
's Force case
105th Wing amod
Airlift Wing compound
Wing is nsubj
is is ROOT
an unit det
Air Guard compound
National Guard compound
Guard unit compound
airlift unit compound
unit is attr
located unit acl
at located prep
Stewart ANGB compound
ANGB at pobj
New York compound
York ANGB npadvmod
To provide aux
provide provide ROOT
airlift operations compound
operations provide dobj
to provide prep
worldwide locations amod
locations to pobj
in locations prep
peacetime in pobj
and in cc
in in conj
war in pobj
The 105th det
105th organized nsubjpass
was organized auxpass
organized organized ROOT
on organized prep
May on pobj
1 May nummod
1958 May nummod
as organized prep
the Group det
105th Group amod
Tactical Fighter compound
Fighter Group compound
Group as pobj
In became prep
1961 In pobj
it became nsubj
became became ROOT
the Group det
105th Group amod
Aeromedical Transport compound
Transport Group compound
Group became attr
It became nsubj
subsequently became advmod
became became ROOT
part became attr
of part prep
Military Services compound
Air Transport compound
Transport Services compound
Services of pobj
Throughout received prep
the 1960s det
1960s Throughout pobj
and 1960s cc
70 1960s conj
's 70 case
the unit det
unit received nsubj
received received ROOT
and received cc
flew received conj
different aircraft amod
aircraft flew dobj
with fly prep
which with pobj
to fly aux
fly aircraft relcl
its mission poss
mission fly dobj
In prepared prep
1987 In pobj
the unit det
unit prepared nsubj
prepared prepared ROOT
to move aux
move prepared xcomp
to move prep
its home poss
present home amod
home to pobj
at home prep
Stewart Base compound
Air Guard compound
National Guard compound
Guard Base compound
Base at pobj
On redesignated prep
May On pobj
1 May nummod
1984 May nummod
it redesignated nsubjpass
was redesignated auxpass
redesignated redesignated ROOT
the Group det
105th Group amod
Military Group compound
Airlift Group compound
Group redesignated oprd
In made prep
July In pobj
1985 July nummod
the unit det
unit made nsubj
made made ROOT
the leap det
largest leap amod
leap made dobj
in made prep
terms in pobj
of terms prep
size of pobj
of in conj
aircraft possible nsubj
possible of amod
The unit det
unit changed nsubj
changed changed ROOT
from changed prep
flying from pcomp
the Skymaster det
O-2A Skymaster compound
Skymaster flying dobj
to flying prep
the Galaxy det
C-5A Galaxy compound
Galaxy to pobj
Over flown prep
the years det
years Over pobj
it flown nsubj
has flown aux
flown flown ROOT
numerous missions amod
humanitarian missions amod
missions flown dobj
as as advmod
well as advmod
as missions cc
supporting flown advcl
operations supporting dobj
for operations prep
the military det
military for pobj
During flew prep
the operations det
Hurricane Katrina compound
Katrina operations compound
relief operations compound
operations During pobj
105th flew nsubj
flew flew ROOT
the missions det
12 missions nummod
missions flew dobj
delivering missions acl
about million advmod
1.5 million compound
million pounds nummod
pounds delivering dobj
of pounds prep
cargo of pobj
and pounds cc
400 passengers nummod
passengers pounds conj
in passengers prep
support in pobj
of support prep
the effort det
relief effort compound
effort of pobj
105 Group nummod
Operations Group compound
Group Group ROOT
137th Squadron compound
Airlift Squadron compound
Squadron Group appos
105th Group compound
Mission Group compound
Support Group compound
Group Squadron appos
105th Squadron compound
Logistics Squadron compound
Readiness Squadron compound
Squadron Group appos
105th Squadron compound
Maintenance Squadron compound
